Title,Description,Priority,Labels,Estimate
"Fix comments IDOR: scope /drafts/:id/comments to workspace","GET/POST /drafts/:id/comments (apps/api/src/routes/comments.ts:36) authenticate but never verify the draft belongs to the caller's workspace. Any valid JWT can read/write comments on any draft. Join drafts->campaigns->ad_accounts and assert workspace match before query. Verified in code.",Urgent,"security,api",1
"Upgrade vulnerable deps: xlsx, uuid, postcss; raise CI audit gate","pnpm audit --prod: 2 high (xlsx@0.18.5 prototype pollution GHSA-4r6h-8v6p-xvw6 + ReDoS GHSA-5pgg-2g8v-p4x9), 3 moderate (uuid@10, postcss@8.5.6). Replace xlsx (exceljs already in tree) or upgrade; bump uuid/postcss; change CI audit step to --audit-level high. Retest export/import flows.",Urgent,"security,dependencies",3
"Re-enable CI workflow and add branch protection on main","CI (.github/workflows/ci.yml, 4 jobs, verified green locally) is disabled in GitHub Actions. Re-enable, then add branch protection: required checks typecheck/lint/test/build/security, >=1 review. Owner action + repo settings.",Urgent,"infra,ci",1
"Stripe webhook idempotency","apps/api/src/routes/billing.ts webhook verifies signature but never dedupes event.id before handleWebhookEvent; Stripe retries re-process events. Add stripe_webhook_events table keyed on event.id; skip already-seen. Verified in code.",Urgent,"billing,api",2
"Verify Meta/TikTok webhook signatures over raw body","Current verification re-hashes parsed JSON, not original bytes (docs/KNOWN_LIMITATIONS.md #3); Meta signs raw body (X-Hub-Signature-256). Capture raw body via JSON body-parser verify hook and thread to handlers. Also a Meta platform-compliance expectation.",Urgent,"security,integrations",1
"Per-route rate limits on AI endpoints (/agent, /rag)","Only the global authenticated limiter (100 req/min) applies (apps/api/src/routes/agent.ts, rag.ts); a single user can hammer AI endpoints and burn credits/cost. Add tight per-endpoint limiter.",Urgent,"api,security",1
"Re-encrypt legacy plaintext OAuth tokens; delete dead token code","Decrypt path (apps/api/src/infrastructure/platform/metaToken.ts:24) passes through values lacking enc:v1: prefix, so pre-encryption rows stay plaintext forever. One-time re-encryption migration; warn/fail on plaintext in prod. Also delete dead decryptStoredToken in platforms/meta/client.ts:2242 (exported, never called, stale TODO).",Urgent,"security,api",2
"SSRF guard on webhook-config URLs + clamp admin pagination","webhooks-config.ts:59 validates URL format only - users can target localhost/internal IPs. Block private/loopback ranges. Separately admin.ts:119 accepts uncapped limit param - clamp to 100/500 like other routes.",Urgent,"security,api",1
"E2E test suite for core flows + CI job","Only 6 page-load smoke tests exist (tests/smoke). Zero coverage: signup->first campaign, campaign CRUD, billing/subscription, integration connect, invite. Build Playwright suites for these 4 money paths and add e2e job to ci.yml with report artifact.",High,"testing,web",8
"Add web-side error reporting (Sentry)","apps/web has no error reporting - global-error.tsx logs to console only; API already has Sentry wiring. Add @sentry/nextjs, init in providers, wire boundaries + 401/403 paths.",High,"observability,web",2
